Year and Quarter,Analysis,Department_Type_Matrix,Compound,Units,xqcorgconc,Target,Actual,Percent Rec.,Date,Batch ID,Sample ID
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Freon 113,ppbv,0,0.2,0.24,120,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Propylene,ppbv,0,2,1.97,98.5,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Freon 114,ppbv,0,0.2,0.23,115,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,"1,3-Butadiene",ppbv,0,2,1.89,94.5,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Acetone,ppbv,0,2,1.9,95,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Isopropyl Alcohol,ppbv,0,0.2,0.31,155,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Carbon disulfide,ppbv,0,0.2,0.27,135,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Acrylonitrile,ppbv,0,2,1.79,89.5,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,tert-Methyl butyl ether (MTBE),ppbv,0,0.2,0.23,115,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,2-Butanone (MEK),ppbv,0,2,1.78,89,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Dichlorodifluoromethane,ppbv,0,0.2,0.24,120,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Chloromethane,ppbv,0,2,1.78,89,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Vinyl chloride,ppbv,0,0.2,0.2,100,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Bromomethane,ppbv,0,0.2,0.24,120,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Chloroethane,ppbv,0,2,1.93,96.5,3/27/2023,230327A8,230327A8.LOQ02
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Vinyl Bromide,ppbv,0,0.2,0.22,110,3/27/2023,230327A8,230327A8.LOQ002
2023_QTR1_LOD_LOQ,TO15,LOQ_AIR1,Acrolein,ppbv,0,2,1.98,99,3/27/2023,230327A8,230327A8.LOQ02
